trnOpDate,gateInComingCnt,gateOutGoingCnt,totalPass
2005/1/1,15988,14649,30637
2005/1/2,15019,18615,33634
2005/1/3,9301,11001,20302
2005/1/4,7677,7910,15587
2005/1/5,8450,8677,17127
2005/1/6,9398,9042,18440
2005/1/7,15234,13466,28700
2005/1/8,16959,15825,32784
2005/1/9,16279,19424,35703
2005/1/10,9955,11122,21077
2005/1/11,7370,7039,14409
2005/1/12,7857,7141,14998
2005/1/13,7363,6832,14195
2005/1/14,12973,10412,23385
2005/1/15,12824,11215,24039
2005/1/16,12695,14221,26916
2005/1/17,8849,9441,18290
2005/1/18,9353,9176,18529
2005/1/19,10741,10696,21437
2005/1/20,13009,13034,26043
2005/1/21,17248,16300,33548
2005/1/22,17447,16970,34417
2005/1/23,17184,19759,36943
2005/1/24,12086,13825,25911
2005/1/25,11403,12196,23599
2005/1/26,12236,12228,24464
2005/1/27,11500,11572,23072
2005/1/28,14965,14098,29063
2005/1/29,16836,16009,32845
2005/1/30,16195,17773,33968
2005/1/31,12666,13292,25958
2005/2/1,11523,11649,23172
2005/2/2,11001,11358,22359
2005/2/3,11862,11511,23373
2005/2/4,14216,12785,27001
2005/2/5,17547,15570,33117
2005/2/6,15768,14479,30247
2005/2/7,13095,12037,25132
2005/2/8,9979,8946,18925
2005/2/9,18073,19096,37169
2005/2/10,19041,20313,39354
2005/2/11,23180,24690,47870
2005/2/12,22782,24960,47742
2005/2/13,21448,24786,46234
2005/2/14,15818,18275,34093
2005/2/15,12036,12676,24712
2005/2/16,11199,11754,22953
2005/2/17,11181,11902,23083
2005/2/18,14622,14203,28825
2005/2/19,15750,15472,31222
2005/2/20,14753,17255,32008
2005/2/21,9536,10571,20107
2005/2/22,9274,9411,18685
2005/2/23,10853,10645,21498
2005/2/24,10091,10026,20117
2005/2/25,17706,15115,32821
2005/2/26,17244,15715,32959
2005/2/27,16069,16729,32798
2005/2/28,17359,22351,39710
2005/3/1,9700,10740,20440
2005/3/2,8553,8372,16925
2005/3/3,8192,8059,16251
2005/3/4,16511,13761,30272
2005/3/5,17220,16120,33340
2005/3/6,18651,21916,40567
2005/3/7,10587,12333,22920
2005/3/8,9153,9534,18687
2005/3/9,9911,9976,19887
2005/3/10,9638,9415,19053
2005/3/11,18054,15494,33548
2005/3/12,15760,14511,30271
2005/3/13,18044,22454,40498
2005/3/14,10339,12041,22380
2005/3/15,9425,9578,19003
2005/3/16,9799,10264,20063
2005/3/17,9755,9415,19170
2005/3/18,17522,14986,32508
2005/3/19,18850,18459,37309
2005/3/20,19823,23711,43534
2005/3/21,10766,12297,23063
2005/3/22,9180,9588,18768
2005/3/23,9096,9080,18176
2005/3/24,9844,9549,19393
2005/3/25,17020,14881,31901
2005/3/26,19629,18731,38360
2005/3/27,19780,23304,43084
2005/3/28,10527,11939,22466
2005/3/29,8459,8718,17177
2005/3/30,9454,9582,19036
2005/3/31,10225,9625,19850
2005/4/1,19544,16581,36125
2005/4/2,19479,17240,36719
2005/4/3,20010,21642,41652
2005/4/4,16142,16816,32958
2005/4/5,20293,25083,45376
2005/4/6,12080,14358,26438
2005/4/7,10156,10790,20946
2005/4/8,16343,16161,32504
2005/4/9,19899,19887,39786
2005/4/10,21258,23840,45098
2005/4/11,10295,11643,21938
2005/4/12,9113,9051,18164
2005/4/13,9081,9298,18379
2005/4/14,9649,9634,19283
2005/4/15,17024,16197,33221
2005/4/16,21627,21523,43150
2005/4/17,21035,23200,44235
2005/4/18,10376,11653,22029
2005/4/19,8947,9207,18154
2005/4/20,9064,8974,18038
2005/4/21,9841,9920,19761
2005/4/22,16843,15582,32425
2005/4/23,18941,18254,37195
2005/4/24,18973,21599,40572
2005/4/25,10297,11663,21960
2005/4/26,8565,8595,17160
2005/4/27,9451,9333,18784
2005/4/28,9902,9552,19454
2005/4/29,17447,15678,33125
2005/4/30,21477,20614,42091
2005/5/1,19615,23020,42635
2005/5/2,11495,13323,24818
2005/5/3,8895,9448,18343
2005/5/4,9495,9600,19095
2005/5/5,10680,10563,21243
2005/5/6,19727,16584,36311
2005/5/7,21536,19698,41234
2005/5/8,20607,26195,46802
2005/5/9,11399,14458,25857
2005/5/10,8631,9079,17710
2005/5/11,10049,10187,20236
2005/5/12,7391,8173,15564
2005/5/13,16293,14081,30374
2005/5/14,13659,13406,27065
2005/5/15,14431,17203,31634
2005/5/16,10281,11868,22149
2005/5/17,9533,9685,19218
2005/5/18,9590,9706,19296
2005/5/19,9820,9643,19463
