trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt,totalPass
2023/11/1,1208,233,220,453
2023/11/2,1208,235,249,484
2023/11/3,1208,274,322,596
2023/11/4,1208,1048,1022,2070
2023/11/5,1208,1122,1092,2214
2023/11/6,1208,204,221,425
2023/11/7,1208,278,278,556
2023/11/8,1208,208,217,425
2023/11/9,1208,328,315,643
2023/11/10,1208,265,302,567
2023/11/11,1208,1061,1094,2155
2023/11/12,1208,990,895,1885
2023/11/13,1208,222,255,477
2023/11/14,1208,182,182,364
2023/11/15,1208,236,318,554
2023/11/16,1208,172,190,362
2023/11/17,1208,286,286,572
2023/11/18,1208,846,870,1716
2023/11/19,1208,1199,1074,2273
2023/11/20,1208,248,242,490
2023/11/21,1208,229,214,443
2023/11/22,1208,306,310,616
2023/11/23,1208,269,258,527
2023/11/24,1208,240,287,527
2023/11/25,1208,991,1091,2082
2023/11/26,1208,1109,978,2087
2023/11/27,1208,249,236,485
2023/11/28,1208,224,256,480
2023/11/29,1208,222,238,460
2023/11/30,1208,272,257,529
