trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt,totalPass
2023/11/1,1203,440,452,892
2023/11/2,1203,442,441,883
2023/11/3,1203,581,590,1171
2023/11/4,1203,823,827,1650
2023/11/5,1203,589,583,1172
2023/11/6,1203,465,413,878
2023/11/7,1203,400,424,824
2023/11/8,1203,453,442,895
2023/11/9,1203,496,517,1013
2023/11/10,1203,573,580,1153
2023/11/11,1203,879,868,1747
2023/11/12,1203,575,579,1154
2023/11/13,1203,467,480,947
2023/11/14,1203,421,430,851
2023/11/15,1203,562,469,1031
2023/11/16,1203,425,426,851
2023/11/17,1203,511,559,1070
2023/11/18,1203,838,799,1637
2023/11/19,1203,630,620,1250
2023/11/20,1203,464,455,919
2023/11/21,1203,450,471,921
2023/11/22,1203,466,483,949
2023/11/23,1203,454,441,895
2023/11/24,1203,500,524,1024
2023/11/25,1203,806,827,1633
2023/11/26,1203,574,522,1096
2023/11/27,1203,416,435,851
2023/11/28,1203,410,442,852
2023/11/29,1203,515,466,981
2023/11/30,1203,474,446,920
