trnOpDate,gateInComingCnt,gateOutGoingCnt,totalPass
2005/1/1,3621,5046,8667
2005/1/2,4888,5350,10238
2005/1/3,2964,3335,6299
2005/1/4,2416,2348,4764
2005/1/5,2678,2565,5243
2005/1/6,2963,2639,5602
2005/1/7,4764,4128,8892
2005/1/8,4441,4506,8947
2005/1/9,5348,5489,10837
2005/1/10,3083,3404,6487
2005/1/11,2265,2169,4434
2005/1/12,2555,2252,4807
2005/1/13,2254,1938,4192
2005/1/14,3417,3271,6688
2005/1/15,2868,3237,6105
2005/1/16,3599,3725,7324
2005/1/17,2400,2668,5068
2005/1/18,2513,2514,5027
2005/1/19,3096,2888,5984
2005/1/20,4389,3591,7980
2005/1/21,4624,4429,9053
2005/1/22,4499,4399,8898
2005/1/23,4921,4766,9687
2005/1/24,3614,3385,6999
2005/1/25,3071,3100,6171
2005/1/26,3200,3140,6340
2005/1/27,3185,3061,6246
2005/1/28,3976,3852,7828
2005/1/29,3870,4034,7904
2005/1/30,4691,4441,9132
2005/1/31,3411,3495,6906
2005/2/1,3106,3057,6163
2005/2/2,2856,2800,5656
2005/2/3,3169,3020,6189
2005/2/4,3654,3496,7150
2005/2/5,4181,4505,8686
2005/2/6,3933,4038,7971
2005/2/7,3447,3837,7284
2005/2/8,2805,3108,5913
2005/2/9,5308,4986,10294
2005/2/10,5606,5508,11114
2005/2/11,6699,5975,12674
2005/2/12,6127,5590,11717
2005/2/13,6125,5410,11535
2005/2/14,4590,4368,8958
2005/2/15,3605,3265,6870
2005/2/16,3271,3170,6441
2005/2/17,3348,3117,6465
2005/2/18,3749,3932,7681
2005/2/19,3863,4082,7945
2005/2/20,4419,4339,8758
2005/2/21,2847,2839,5686
2005/2/22,2686,2631,5317
2005/2/23,3396,3251,6647
2005/2/24,3432,2775,6207
2005/2/25,5734,4843,10577
2005/2/26,4080,4690,8770
2005/2/27,4556,4346,8902
2005/2/28,5625,5870,11495
2005/3/1,2934,3069,6003
2005/3/2,2548,2435,4983
2005/3/3,2657,2212,4869
2005/3/4,5181,4155,9336
2005/3/5,4242,4455,8697
2005/3/6,5409,5855,11264
2005/3/7,3124,3444,6568
2005/3/8,2656,2550,5206
2005/3/9,2961,2925,5886
2005/3/10,3087,2632,5719
2005/3/11,5653,4682,10335
2005/3/12,3833,3974,7807
2005/3/13,5672,5975,11647
2005/3/14,3117,3427,6544
2005/3/15,2666,2618,5284
2005/3/16,3013,2783,5796
2005/3/17,3029,2658,5687
2005/3/18,5551,4602,10153
2005/3/19,4731,4649,9380
2005/3/20,5856,6210,12066
2005/3/21,3130,3393,6523
2005/3/22,2689,2551,5240
2005/3/23,2870,3078,5948
2005/3/24,3220,2681,5901
2005/3/25,5693,4421,10114
2005/3/26,4649,4832,9481
2005/3/27,5977,6259,12236
2005/3/28,3222,3488,6710
2005/3/29,2425,2372,4797
2005/3/30,2732,2968,5700
2005/3/31,2968,2564,5532
2005/4/1,6207,5180,11387
2005/4/2,4968,5369,10337
2005/4/3,5445,5139,10584
2005/4/4,4495,4866,9361
2005/4/5,6599,6845,13444
2005/4/6,4018,3912,7930
2005/4/7,3347,2892,6239
2005/4/8,5216,4301,9517
2005/4/9,4651,4683,9334
2005/4/10,5839,6287,12126
2005/4/11,3183,3421,6604
2005/4/12,2653,2628,5281
2005/4/13,2707,2553,5260
2005/4/14,3002,2665,5667
2005/4/15,5079,4465,9544
2005/4/16,4992,5204,10196
2005/4/17,5958,6050,12008
2005/4/18,3219,3323,6542
2005/4/19,2706,2378,5084
2005/4/20,3298,2719,6017
2005/4/21,3226,2712,5938
2005/4/22,5443,4475,9918
2005/4/23,4825,4999,9824
2005/4/24,5797,6287,12084
2005/4/25,3196,3690,6886
2005/4/26,2561,2387,4948
2005/4/27,2768,2732,5500
2005/4/28,3225,2655,5880
2005/4/29,5529,4703,10232
2005/4/30,5001,5238,10239
2005/5/1,5805,6269,12074
2005/5/2,3266,3451,6717
2005/5/3,2784,2691,5475
2005/5/4,2803,2674,5477
2005/5/5,3379,2891,6270
2005/5/6,6203,5525,11728
2005/5/7,5598,6117,11715
2005/5/8,7120,6609,13729
