trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt,totalPass
2023/11/1,1250,8113,8356,16469
2023/11/2,1250,7917,8335,16252
2023/11/3,1250,10203,10977,21180
2023/11/4,1250,8969,8988,17957
2023/11/5,1250,10396,9900,20296
2023/11/6,1250,8607,8488,17095
2023/11/7,1250,8128,8154,16282
2023/11/8,1250,8143,8339,16482
2023/11/9,1250,8096,8477,16573
2023/11/10,1250,10367,11506,21873
2023/11/11,1250,10843,10593,21436
2023/11/12,1250,10472,9916,20388
2023/11/13,1250,8272,8640,16912
2023/11/14,1250,8541,8403,16944
2023/11/15,1250,8427,8640,17067
2023/11/16,1250,7932,8172,16104
2023/11/17,1250,10482,11332,21814
2023/11/18,1250,8883,9150,18033
2023/11/19,1250,10178,9704,19882
2023/11/20,1250,9097,8964,18061
2023/11/21,1250,8353,8403,16756
2023/11/22,1250,8286,8373,16659
2023/11/23,1250,8328,8618,16946
2023/11/24,1250,10357,11243,21600
2023/11/25,1250,9096,9403,18499
2023/11/26,1250,9732,9074,18806
2023/11/27,1250,8686,8483,17169
2023/11/28,1250,8073,8270,16343
2023/11/29,1250,8271,8485,16756
2023/11/30,1250,8445,8561,17006
